16:00 	161.90 	164.75 	161.65 	164.34 	32,549,163
02/13/2018 	161.95 	164.75 	161.65 	164.34 	32,483,310
02/12/2018 	158.5 	163.89 	157.51 	162.71 	60,774,900
02/09/2018 	157.07 	157.89 	150.24 	156.41 	70,583,530
02/08/2018 	160.29 	161 	155.03 	155.15 	54,145,930
02/07/2018 	163.085 	163.4 	159.0685 	159.54 	51,467,440
02/06/2018 	154.83 	163.72 	154 	163.03 	68,171,940
02/05/2018 	159.1 	163.88 	156 	156.49 	72,215,320
02/02/2018 	166 	166.8 	160.1 	160.5 	85,957,050
02/01/2018 	167.165 	168.62 	166.76 	167.78 	44,453,230
01/31/2018 	166.87 	168.4417 	166.5 	167.43 	32,234,520
01/30/2018 	165.525 	167.37 	164.7 	166.97 	45,635,470
01/29/2018 	170.16 	170.16 	167.07 	167.96 	50,565,420
01/26/2018 	172 	172 	170.06 	171.51 	39,075,250
01/25/2018 	174.505 	174.95 	170.53 	171.11 	41,438,280
01/24/2018 	177.25 	177.3 	173.2 	174.22 	51,368,540
01/23/2018 	177.3 	179.44 	176.82 	177.04 	32,395,870
01/22/2018 	177.3 	177.78 	176.6016 	177 	27,052,000
01/19/2018 	178.61 	179.58 	177.41 	178.46 	31,306,390
01/18/2018 	179.37 	180.1 	178.25 	179.26 	31,087,330
01/17/2018 	176.15 	179.25 	175.07 	179.1 	34,260,230
01/16/2018 	177.9 	179.39 	176.14 	176.19 	29,512,410
01/12/2018 	176.18 	177.36 	175.65 	177.09 	25,302,200
01/11/2018 	174.59 	175.4886 	174.49 	175.28 	18,653,380
01/10/2018 	173.16 	174.3 	173 	174.29 	23,751,690
01/09/2018 	174.55 	175.06 	173.41 	174.33 	21,532,200
01/08/2018 	174.35 	175.61 	173.93 	174.35 	20,523,870
01/05/2018 	173.44 	175.37 	173.05 	175 	23,589,930
01/04/2018 	172.54 	173.47 	172.08 	173.03 	22,342,650
01/03/2018 	172.53 	174.55 	171.96 	172.23 	29,461,040
01/02/2018 	170.16 	172.3 	169.26 	172.26 	25,400,540
12/29/2017 	170.52 	170.59 	169.22 	169.23 	25,938,760
12/28/2017 	171 	171.85 	170.48 	171.08 	16,412,270
12/27/2017 	170.1 	170.78 	169.71 	170.6 	21,477,380
12/26/2017 	170.8 	171.47 	169.679 	170.57 	33,113,340
12/22/2017 	174.68 	175.424 	174.5 	175.01 	16,339,690
12/21/2017 	174.17 	176.02 	174.1 	175.01 	20,848,660
12/20/2017 	174.87 	175.42 	173.25 	174.35 	23,451,420
12/19/2017 	175.03 	175.39 	174.09 	174.54 	27,393,660
12/18/2017 	174.88 	177.2 	174.86 	176.42 	29,385,650
12/15/2017 	173.63 	174.17 	172.46 	173.97 	40,122,100
12/14/2017 	172.4 	173.13 	171.65 	172.22 	20,442,740
12/13/2017 	172.5 	173.54 	172 	172.27 	23,402,510
12/12/2017 	172.15 	172.39 	171.461 	171.7 	19,088,170
12/11/2017 	169.2 	172.89 	168.79 	172.67 	34,260,890
12/08/2017 	170.49 	171 	168.82 	169.37 	23,285,760
12/07/2017 	169.03 	170.44 	168.91 	169.32 	25,656,110
12/06/2017 	167.5 	170.2047 	166.46 	169.01 	28,397,810
12/05/2017 	169.06 	171.52 	168.4 	169.64 	27,315,530
12/04/2017 	172.48 	172.62 	169.63 	169.8 	32,512,580
12/01/2017 	169.95 	171.67 	168.5 	171.05 	39,735,110
11/30/2017 	170.43 	172.14 	168.44 	171.85 	41,484,540
11/29/2017 	172.63 	172.92 	167.16 	169.48 	41,459,120
11/28/2017 	174.3 	174.87 	171.86 	173.07 	26,387,240
11/27/2017 	175.05 	175.08 	173.34 	174.09 	20,591,090
11/24/2017 	175.1 	175.5 	174.6459 	174.97 	14,026,670
11/22/2017 	173.36 	175 	173.05 	174.96 	25,558,680
11/21/2017 	170.78 	173.7 	170.78 	173.14 	25,047,130
11/20/2017 	170.29 	170.56 	169.56 	169.98 	16,041,550
11/17/2017 	171.04 	171.39 	169.64 	170.15 	21,884,010
11/16/2017 	171.18 	171.87 	170.3 	171.1 	23,598,650
11/15/2017 	169.97 	170.3197 	168.38 	169.08 	28,998,220
11/14/2017 	173.04 	173.48 	171.18 	171.34 	24,683,350
11/13/2017 	173.5 	174.5 	173.4 	173.97 	16,956,290 
